GSR,HR,Perfume
0.125548,78.9,Aromatic Oud
0.125548,78.95,Aromatic Oud
0.125548,78.98,Aromatic Oud
0.125548,79.02,Aromatic Oud
0.12811,79.07,Aromatic Oud
0.12811,79.12,Aromatic Oud
0.12811,79.18,Aromatic Oud
0.126829,79.23,Aromatic Oud
0.129391,79.27,Aromatic Oud
0.12811,79.27,Aromatic Oud
0.126829,79.28,Aromatic Oud
0.126829,79.3,Aromatic Oud
0.125548,79.32,Aromatic Oud
0.125548,79.3,Aromatic Oud
0.126829,79.27,Aromatic Oud
0.126829,79.25,Aromatic Oud
0.12811,79.23,Aromatic Oud
0.12811,79.25,Aromatic Oud
0.129391,79.27,Aromatic Oud
0.129391,79.25,Aromatic Oud
0.129391,79.22,Aromatic Oud
0.130672,79.15,Aromatic Oud
0.130672,79.07,Aromatic Oud
0.129391,78.97,Aromatic Oud
0.130672,78.85,Aromatic Oud
0.12811,78.73,Aromatic Oud
0.129391,78.58,Aromatic Oud
0.129391,78.42,Aromatic Oud
0.12811,78.25,Aromatic Oud
0.12811,78.07,Aromatic Oud
